"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110"
"60",14,14,12,12,14,12,8,12,8,8,2,12,8,10,12,16,14,10,8,14,10,14,10,16,8,12,14,8,6,12,12,4,6,8,6,14,16,18,14,18,10,18,16,12,14,14,10,10,8,8,6,10,10,10,10,8,8,10,10,0,6,10,16,10,8,10,8,6,14,12,12,14,12,4,6,18,16,16,14,18,14,4,10,16,10,10,14,10,12,10,18,16,18,18,18,10,16,4,6,4,6,4,2,6,2,8,6,8,6,4
"61",10,8,6,10,8,10,8,8,8,8,10,8,10,8,10,10,10,6,8,10,8,10,10,10,10,8,8,6,10,10,10,8,10,8,10,8,8,10,10,10,4,6,8,6,4,6,6,12,12,16,14,10,8,12,8,14,14,10,8,6,0,10,16,12,8,12,8,4,16,10,14,16,18,10,4,6,14,18,14,16,10,4,16,18,12,8,16,10,14,10,18,14,16,20,20,14,14,4,6,8,2,2,6,6,4,6,2,4,2,6
"62",4,10,10,10,12,6,12,12,14,18,14,18,8,18,16,12,14,14,10,10,8,10,8,10,10,10,10,8,8,10,10,10,8,8,10,8,10,10,8,10,8,8,8,10,8,8,10,10,8,8,10,8,10,10,10,10,8,10,8,10,10,0,14,10,10,10,6,6,14,12,14,16,14,8,6,8,14,18,14,16,8,2,12,18,12,10,14,8,12,12,16,16,14,16,20,14,16,6,4,6,4,4,4,6,6,10,2,4,8,8
"63",8,10,10,10,10,8,8,10,8,6,4,10,6,8,6,4,8,10,10,8,6,8,2,6,4,8,8,6,10,10,2,8,8,6,8,8,2,20,12,10,12,14,12,10,14,12,14,16,16,14,16,14,16,16,16,16,14,14,16,16,16,14,0,12,8,10,10,8,2,12,12,16,14,6,10,6,16,16,12,18,8,8,12,18,10,10,8,12,14,12,16,16,18,18,20,12,16,4,2,4,6,4,4,4,2,8,6,4,6,4
"64",14,16,14,16,16,14,16,14,14,14,16,14,14,16,16,14,14,16,14,16,16,16,16,14,16,14,16,16,14,16,16,16,16,14,14,16,14,2,8,10,6,8,10,14,16,16,14,12,12,8,12,10,14,14,12,10,8,6,14,10,12,10,12,0,6,12,10,8,6,12,14,16,18,10,12,6,16,16,12,16,14,4,16,18,12,10,6,12,14,10,18,12,16,20,18,14,16,8,6,6,2,4,8,4,4,4,4,6,6,4
"65",8,14,18,14,18,8,18,16,12,14,14,10,10,8,10,8,10,10,10,10,8,8,10,10,10,8,8,10,8,10,10,8,10,8,8,8,10,8,8,10,10,8,8,10,8,10,10,10,10,8,10,8,10,10,8,10,10,10,10,8,8,10,8,6,0,12,10,4,8,12,12,14,16,10,12,8,8,16,14,10,14,6,14,16,10,10,4,12,14,20,16,16,18,10,20,14,16,6,6,6,4,4,6,8,4,8,6,4,6,6
"66",8,4,6,8,12,14,14,12,10,10,6,10,8,12,12,10,8,6,4,12,8,10,8,10,6,16,16,12,16,10,16,14,10,12,12,12,12,10,12,10,12,12,12,12,10,10,12,12,12,10,10,12,10,12,12,10,12,10,10,10,12,10,10,12,12,0,10,6,12,10,12,14,18,24,12,2,4,16,14,6,6,22,16,16,12,8,8,12,10,14,18,14,18,8,20,14,14,6,6,4,6,4,6,2,6,6,2,4,2,4
"67",10,10,12,10,12,12,12,12,10,12,10,12,12,10,12,12,12,12,10,10,12,10,10,6,8,10,14,12,8,6,12,8,12,8,14,6,10,12,6,4,10,10,2,4,6,4,12,16,16,12,16,10,16,14,10,12,12,10,10,8,8,6,10,10,10,10,0,8,14,12,12,16,20,8,8,4,6,10,8,2,10,12,16,18,10,10,6,10,12,8,18,16,12,4,18,14,16,6,4,2,6,6,4,4,8,8,6,6,4,4
"68",8,8,10,10,10,8,6,10,8,10,8,8,8,8,10,8,10,8,10,10,10,6,8,10,8,10,10,10,10,8,8,6,10,10,10,8,10,8,10,8,8,10,10,6,4,2,8,8,12,10,6,2,8,4,10,10,6,4,6,6,4,6,8,8,4,6,8,0,12,10,14,16,20,14,6,8,6,2,2,4,12,12,16,18,12,8,22,10,14,14,16,10,16,6,20,8,16,4,6,6,8,4,4,4,6,2,8,4,4,6
"69",20,14,8,14,14,14,12,14,12,14,16,16,14,16,14,16,16,16,16,14,14,16,16,16,14,14,16,14,16,16,14,16,14,14,14,16,14,14,16,16,14,14,16,14,16,16,16,16,14,16,14,16,16,14,16,16,16,16,14,14,16,14,2,6,8,12,14,12,0,12,12,16,18,12,4,10,8,12,8,4,10,12,14,18,10,10,12,12,12,14,18,14,16,6,20,12,14,4,4,6,6,6,6,4,6,6,6,8,4,4
"70",8,8,10,8,12,12,10,8,6,4,8,10,8,10,6,10,10,16,16,12,16,10,16,14,10,12,12,12,12,10,12,10,12,12,12,12,10,10,12,12,12,10,10,12,10,12,12,10,12,10,10,10,12,10,10,12,12,10,10,12,10,12,12,12,12,10,12,10,12,0,12,14,20,18,10,10,4,8,6,4,12,16,16,16,12,10,12,12,14,14,16,16,10,12,20,14,12,4,4,4,2,6,4,6,6,10,4,2,8,6
"71",12,10,12,12,12,12,10,10,12,10,4,6,10,12,10,6,6,8,6,10,10,8,6,6,6,6,8,6,8,4,8,8,18,14,10,14,12,14,12,12,10,12,14,14,12,14,12,14,14,14,14,12,12,14,14,14,12,12,14,12,14,14,12,14,12,12,12,14,12,12,0,14,18,14,6,10,4,4,6,8,12,10,14,16,12,10,12,12,14,12,16,6,14,12,16,6,16,2,6,4,10,4,4,6,6,6,6,6,6,8
"72",14,14,12,12,14,12,14,14,14,14,12,14,12,14,14,12,14,14,14,14,12,12,14,12,6,6,10,8,4,4,6,2,8,8,4,2,6,6,6,4,8,6,4,8,6,20,12,10,12,14,12,10,14,12,14,16,16,14,16,14,16,16,16,16,14,14,16,16,16,14,14,0,20,14,10,6,10,6,12,2,4,12,16,18,12,10,16,10,14,14,16,4,18,10,20,12,16,6,6,4,6,6,4,6,6,8,6,4,4,2
"73",16,14,16,16,14,16,14,14,14,16,14,14,16,16,14,14,16,14,16,16,16,16,14,16,14,16,16,14,16,16,16,16,14,14,16,14,4,6,8,4,10,6,8,4,10,6,6,12,12,10,8,12,10,10,12,8,24,8,14,12,18,14,14,18,16,18,20,20,18,20,18,20,0,18,24,4,10,4,12,6,24,16,16,16,10,10,10,8,14,12,18,10,14,10,14,14,14,4,6,6,4,8,2,4,6,6,4,6,8,6
"74",20,20,20,18,18,20,20,20,18,18,20,18,20,20,18,20,18,18,18,20,18,18,20,20,18,18,20,18,20,20,20,20,18,20,18,20,20,18,20,20,20,20,18,18,20,18,4,6,6,6,8,4,6,8,2,6,8,8,12,4,10,8,6,10,10,24,8,14,12,18,14,14,18,0,8,2,8,4,4,4,8,14,16,18,10,10,12,12,12,14,16,6,14,10,20,12,16,6,2,4,6,4,6,8,6,4,6,4,6,8
"75",16,18,18,18,16,18,16,18,18,18,18,16,16,18,18,18,16,16,18,16,18,18,16,18,16,18,16,18,16,18,18,18,16,16,18,16,18,18,18,18,16,18,16,18,18,18,18,18,18,18,16,16,18,18,2,8,10,8,8,6,4,6,10,12,12,12,8,6,4,10,6,10,24,8,0,8,6,6,8,2,14,16,16,18,12,10,16,10,12,14,16,6,18,12,18,12,16,4,4,6,8,4,6,4,4,6,6,4,2,8
"76",14,12,18,14,14,18,16,18,18,18,16,16,14,18,18,18,18,16,16,18,18,18,16,14,18,16,18,16,16,16,16,18,16,18,16,18,18,18,14,16,18,16,18,18,18,18,16,16,14,18,18,18,16,18,16,18,16,16,18,18,6,8,6,6,8,2,4,8,10,10,10,6,4,2,8,0,10,4,10,6,12,16,14,16,10,8,14,12,10,14,18,10,18,12,20,14,16,6,4,4,4,2,4,2,8,8,4,4,4,8
"77",4,8,22,10,12,10,16,12,12,16,14,16,16,16,14,14,12,16,16,16,16,14,14,16,16,16,14,12,16,14,16,14,14,14,14,16,14,16,14,16,16,16,12,14,16,14,16,16,16,16,14,14,12,16,16,16,14,16,14,16,14,14,16,16,8,4,6,6,8,4,4,10,10,8,6,10,0,6,8,8,18,16,14,18,12,8,16,10,14,12,18,8,16,12,20,14,16,6,6,4,4,6,4,6,6,6,8,2,6,8
"78",8,8,10,6,20,8,10,8,14,10,10,14,12,14,18,18,16,18,16,18,18,18,16,16,16,18,16,18,16,16,18,16,18,18,14,18,16,14,14,18,14,14,18,18,16,16,18,16,16,18,18,18,14,18,16,18,16,16,18,16,18,18,16,16,16,16,10,2,12,8,4,6,4,4,6,4,6,0,10,20,14,14,16,16,12,10,16,10,14,12,16,10,14,10,16,14,8,6,2,8,6,6,4,4,6,6,4,4,6,4
"79",6,2,4,10,20,14,8,14,14,14,12,14,12,14,14,14,12,14,12,14,14,14,14,12,12,14,14,14,12,12,14,12,14,14,12,14,12,14,12,14,12,14,14,14,12,12,14,12,14,14,14,14,12,14,12,14,14,14,14,14,14,14,12,12,14,14,8,2,8,6,6,12,12,4,8,10,8,10,0,12,14,14,16,16,12,10,16,10,14,10,16,22,18,10,20,12,14,2,6,4,6,6,6,6,2,4,6,4,8,10
"80",10,2,22,10,12,10,16,12,12,16,14,16,18,18,16,18,16,18,18,18,18,16,16,18,18,18,16,16,18,16,18,18,16,18,16,16,16,18,16,16,18,18,16,16,18,16,18,18,18,18,16,18,16,18,18,16,18,18,18,18,16,16,18,16,10,6,2,4,4,4,8,2,6,4,2,6,8,20,12,0,18,12,16,16,12,10,14,10,12,14,18,22,16,10,18,14,16,2,6,6,6,6,6,4,8,4,6,6,2,6
"81",10,12,14,12,10,14,12,14,14,14,12,14,12,14,14,14,14,12,12,14,14,14,12,12,14,12,14,14,12,14,12,14,12,14,12,14,14,14,12,12,14,12,14,14,14,14,12,14,12,14,14,14,14,14,14,14,12,12,14,14,10,8,8,14,14,6,10,12,10,12,12,4,24,8,14,12,18,14,14,18,0,16,14,18,10,8,16,12,14,14,16,20,16,10,20,14,6,2,6,10,6,2,6,6,4,4,8,4,8,2
"82",16,18,20,20,18,20,18,20,20,20,20,18,18,20,20,20,18,18,20,18,20,20,18,20,18,18,18,20,18,18,20,20,18,18,20,18,20,20,20,20,18,20,18,20,20,18,20,20,20,20,18,18,20,18,6,6,10,10,10,4,4,2,8,4,6,22,12,12,12,16,10,12,16,14,16,16,16,14,14,12,16,0,14,16,12,8,14,10,12,14,18,20,18,8,14,12,14,4,4,6,4,8,6,2,6,6,6,8,6,6
"83",16,16,16,14,14,16,16,16,14,12,16,14,16,14,14,14,14,16,14,16,14,16,16,16,12,14,16,14,16,16,16,16,14,14,12,16,16,16,14,16,14,16,14,14,16,16,4,6,6,10,2,8,6,4,8,8,22,10,12,10,16,12,12,16,14,16,16,16,14,16,14,16,16,16,16,14,14,16,16,16,14,14,0,16,10,8,16,12,14,14,18,20,18,12,18,14,16,8,6,4,6,4,4,4,10,6,6,6,6,4
"84",16,14,16,16,14,16,14,16,14,16,14,16,16,16,14,14,16,14,16,16,16,16,14,16,14,16,16,16,16,16,16,16,14,14,16,16,8,8,8,2,10,8,6,10,4,22,12,12,12,16,10,12,16,14,16,18,18,16,18,16,18,18,18,18,16,16,18,18,18,16,16,18,16,18,18,16,18,16,16,16,18,16,16,0,12,6,16,10,12,12,18,22,18,10,20,14,14,4,2,4,2,4,4,8,4,4,6,6,6,4
"85",18,18,16,16,18,16,18,18,18,18,16,18,16,18,18,16,18,18,18,18,16,16,18,16,2,10,6,6,8,2,8,12,18,16,12,16,12,16,14,12,12,10,12,12,10,12,10,12,12,12,12,10,10,12,12,12,10,10,12,10,12,12,10,12,10,12,10,12,10,12,12,12,10,10,12,10,12,12,12,12,10,12,10,12,0,4,16,12,12,12,18,22,12,8,6,14,14,4,6,6,2,4,6,4,4,6,4,6,6,6
"86",12,12,12,12,12,12,10,10,12,12,10,6,6,8,2,8,12,16,16,12,16,10,16,14,10,12,12,10,10,8,10,8,10,10,10,10,8,8,10,10,10,8,8,10,8,10,10,8,10,8,10,8,10,8,10,10,10,8,8,10,8,10,10,10,10,8,10,8,10,10,10,10,10,10,10,8,8,10,10,10,8,8,8,6,4,0,16,12,14,14,16,22,18,12,2,10,16,10,8,2,6,6,4,6,6,6,2,6,8,8
"87",20,14,8,14,14,14,12,14,12,14,16,16,14,16,14,16,16,16,16,14,14,16,16,16,14,14,16,14,16,16,14,16,14,14,14,16,14,14,16,16,14,14,16,14,16,16,16,16,14,16,14,16,16,14,16,16,16,16,14,14,16,14,8,6,4,8,6,22,12,12,12,16,10,12,16,14,16,16,16,14,16,14,16,16,16,16,0,12,14,14,18,20,14,10,4,14,16,4,6,4,2,6,4,4,8,4,6,4,4,6
"88",14,14,16,16,16,14,14,16,14,16,16,14,16,14,16,14,16,14,16,16,16,14,14,16,14,16,16,16,16,14,16,14,16,16,16,16,16,16,16,14,14,16,16,2,4,2,10,18,14,10,14,12,14,12,12,10,12,12,12,10,10,8,12,12,12,12,10,10,12,12,12,10,8,12,10,12,10,10,10,10,12,10,12,10,12,12,12,0,6,14,16,20,18,12,18,10,16,2,6,6,8,4,6,6,6,4,6,2,4,6
"89",8,10,12,10,12,12,12,12,10,10,8,12,12,12,10,12,10,12,10,10,12,12,6,2,8,20,12,10,12,14,12,10,14,12,14,14,14,12,12,10,14,14,14,14,12,12,14,14,14,12,10,14,12,14,12,12,12,12,14,12,14,12,14,14,14,10,12,14,12,14,14,14,14,12,12,10,14,14,14,12,14,12,14,12,12,14,14,6,0,12,18,20,16,12,18,14,14,6,6,6,4,4,6,6,4,4,4,6,6,4
"90",10,18,14,10,14,12,14,12,12,10,12,12,12,10,12,10,12,12,12,12,10,10,12,12,12,10,10,12,10,12,12,10,12,10,12,10,12,10,12,12,12,10,10,12,10,12,12,12,12,10,12,10,12,12,12,12,12,12,12,10,10,12,12,10,20,14,8,14,14,14,12,14,12,14,14,14,12,12,10,14,14,14,14,12,12,14,14,14,12,0,18,20,16,6,18,12,16,8,8,2,6,4,2,6,4,4,4,2,4,4
"91",10,14,12,14,12,12,12,12,14,12,14,12,14,14,14,10,12,14,12,14,14,14,14,12,12,10,14,14,14,12,14,12,14,12,12,14,14,22,12,12,12,16,10,12,16,14,16,18,18,16,18,16,18,18,18,18,16,16,18,18,18,16,16,18,16,18,18,16,18,16,16,16,18,16,16,18,18,16,16,18,16,18,18,18,18,16,18,16,18,18,0,18,18,10,16,14,16,6,4,6,8,2,6,2,6,4,2,8,6,6
"92",16,18,18,18,18,16,16,18,16,16,12,14,6,12,10,8,8,8,16,16,16,14,16,16,16,16,14,16,16,14,12,16,16,14,16,16,16,16,8,14,16,6,14,16,14,14,16,16,16,14,16,16,14,16,16,16,12,16,10,16,14,16,16,12,16,14,16,10,14,16,6,4,10,6,6,10,8,10,22,22,20,20,20,22,22,22,20,20,20,20,18,0,14,10,18,14,14,6,4,6,4,6,6,2,4,8,6,4,4,6
"93",22,20,18,22,20,22,22,16,20,20,14,18,22,18,18,22,22,20,18,22,20,20,22,22,22,16,22,18,22,20,20,22,18,22,20,20,18,20,20,6,6,6,4,6,4,6,18,18,16,16,16,18,18,18,16,16,16,16,14,18,16,14,18,16,18,18,12,16,16,10,14,18,14,14,18,18,16,14,18,16,16,18,18,18,12,18,14,18,16,16,18,14,0,4,18,10,16,6,4,2,4,6,4,6,2,2,6,8,4,2
"94",18,16,16,14,16,16,10,4,4,6,6,8,20,20,20,18,20,20,20,20,18,20,20,18,16,20,20,18,20,20,20,20,14,18,20,12,18,20,18,18,20,20,20,18,20,20,18,20,20,20,16,20,16,20,18,20,20,16,20,18,20,16,18,20,10,8,4,6,6,12,12,10,10,10,12,12,12,10,10,10,10,8,12,10,8,12,10,12,12,6,10,10,4,0,18,14,16,6,4,6,4,8,2,4,4,4,8,4,2,8
"95",8,12,8,8,12,12,10,8,12,10,10,12,12,12,6,12,8,12,10,10,12,8,12,10,10,8,10,10,2,8,4,6,20,20,20,18,20,20,20,20,18,20,20,18,16,20,20,18,20,20,20,20,12,18,20,10,18,20,18,18,20,20,20,18,20,20,18,20,20,20,16,20,14,20,18,20,20,16,20,18,20,14,18,20,6,2,4,18,18,18,16,18,18,18,0,12,16,4,6,6,6,6,8,6,2,4,4,6,8,6
"96",18,16,18,18,16,14,18,18,16,18,18,18,18,10,16,18,8,16,18,16,16,18,18,18,16,18,18,16,18,18,18,14,18,12,18,16,18,18,14,18,16,18,12,16,18,4,4,14,14,14,12,14,14,14,14,12,14,14,12,10,14,14,12,14,14,14,14,8,12,14,6,12,14,12,12,14,14,14,12,14,14,12,14,14,14,10,14,10,14,12,14,14,10,14,12,0,12,4,6,6,6,2,4,6,4,2,4,2,6,4
"97",14,10,12,14,2,16,16,16,14,16,16,16,16,14,16,16,14,12,16,16,14,16,16,16,16,8,14,16,6,14,16,14,14,16,16,16,14,16,16,14,16,16,16,12,16,10,16,14,16,16,12,16,14,16,10,14,16,16,16,16,14,16,16,16,16,14,16,16,14,12,16,16,14,16,16,16,16,8,14,16,6,14,16,14,14,16,16,16,14,16,16,14,16,16,16,12,0,4,4,6,8,10,2,6,6,6,8,6,8,8
"98",16,10,16,14,16,16,12,16,14,16,10,14,16,6,2,4,6,4,4,4,6,4,4,2,6,4,6,6,6,6,6,6,8,6,6,10,6,4,6,8,2,2,6,4,2,6,4,4,4,2,6,4,8,6,6,6,6,4,4,4,4,6,4,8,6,6,6,4,4,4,2,6,4,6,4,6,6,6,2,2,2,4,8,4,4,10,4,2,6,8,6,6,6,6,4,4,4,0,6,8,4,4,6,6,6,6,4,4,2,4
"99",4,2,4,6,6,8,4,4,8,4,6,6,4,6,8,6,8,6,4,4,6,6,6,2,2,4,6,6,4,4,6,4,6,6,8,6,4,10,4,4,4,6,4,4,4,2,2,4,6,4,6,4,4,6,8,6,6,4,6,6,6,4,2,6,6,6,4,6,4,4,6,6,6,2,4,4,6,2,6,6,6,4,6,2,6,8,6,6,6,8,4,4,4,4,6,6,4,6,0,2,6,2,2,2,6,6,6,6,6,8
"100",4,4,4,2,4,6,6,8,4,2,2,4,6,6,4,8,6,6,4,6,4,4,6,6,4,2,2,4,4,6,4,8,4,2,10,4,6,4,6,6,6,2,4,6,4,6,6,6,6,4,2,6,4,6,6,2,6,4,6,4,8,6,4,6,6,4,2,6,6,4,4,4,6,4,6,4,4,8,4,6,10,6,4,4,6,2,4,6,6,2,6,6,2,6,6,6,6,8,2,0,6,4,6,4,8,8,6,6,4,6
"101",2,4,4,6,6,4,4,8,4,6,4,4,6,6,4,6,4,6,6,6,4,2,4,8,6,6,10,4,6,6,8,4,2,4,6,6,2,2,4,2,4,6,4,8,6,6,8,6,4,2,6,4,8,4,8,6,6,4,4,6,2,4,6,2,4,6,6,8,6,2,10,6,4,6,8,4,4,6,6,6,6,4,6,2,2,6,2,8,4,6,8,4,4,4,6,6,8,4,6,6,0,6,6,4,4,10,2,4,8,4
"102",6,6,2,6,6,6,4,4,2,4,6,4,6,8,2,4,4,6,6,6,6,6,4,4,2,4,4,6,4,6,8,4,2,8,4,4,6,4,6,8,4,8,4,6,6,4,2,4,6,4,6,6,8,6,4,10,4,6,2,4,2,4,4,4,4,4,6,4,6,6,4,6,8,4,4,2,6,6,6,6,2,8,4,4,4,6,6,4,4,4,2,6,6,8,6,2,10,4,2,4,6,0,4,6,4,4,6,4,6,6
"103",6,6,4,2,4,4,6,6,4,2,4,6,8,6,6,6,6,6,6,4,4,6,6,6,4,4,6,4,6,6,6,6,6,4,6,8,6,4,6,8,4,4,6,2,4,6,4,6,4,2,4,4,6,6,6,8,6,2,4,2,6,4,4,8,6,6,4,4,6,4,4,4,2,6,6,4,4,4,6,6,6,6,4,4,6,4,4,6,6,2,6,6,4,2,8,4,2,6,2,6,6,4,0,6,8,4,6,6,6,8
"104",8,2,6,4,6,6,6,8,6,4,10,6,6,4,6,2,4,6,6,6,6,4,6,4,4,6,2,8,2,4,6,4,4,4,6,6,8,2,4,4,4,4,6,6,8,6,2,10,4,6,2,4,4,6,4,4,6,4,6,6,6,6,4,4,8,2,4,4,4,6,6,6,4,8,4,2,6,4,6,4,6,2,4,8,4,6,4,6,6,6,2,2,6,4,6,6,6,6,2,4,4,6,6,0,4,4,6,6,8,8
"105",6,4,4,4,4,4,6,6,6,4,4,4,8,4,2,10,6,2,6,8,6,6,6,6,4,6,6,4,4,4,6,4,8,2,4,8,2,6,6,4,6,8,6,6,4,6,8,6,2,10,2,4,4,6,6,6,4,4,6,2,4,6,2,4,4,6,8,6,6,6,6,6,6,6,4,8,6,6,2,8,4,6,10,4,4,6,8,6,4,4,6,4,2,4,2,4,6,6,6,8,4,4,8,4,0,6,8,6,6,6
"106",6,4,4,4,8,6,8,8,2,6,10,6,4,6,8,6,4,2,6,4,4,6,2,6,6,6,4,6,4,4,8,2,6,2,4,4,8,6,8,6,8,2,6,8,6,8,8,8,8,6,8,8,6,8,8,8,4,8,2,8,6,10,8,4,8,6,8,2,6,10,6,8,6,4,6,8,6,6,4,4,4,6,6,4,6,6,4,4,4,4,4,8,2,4,4,2,6,6,6,8,10,4,4,4,6,0,2,6,4,6
"107",6,6,4,4,6,4,6,6,4,4,4,4,8,4,6,6,4,6,6,6,4,8,6,4,8,10,8,8,10,10,10,8,10,10,8,10,10,10,6,10,4,10,8,10,10,6,10,8,10,4,8,10,6,2,4,6,6,4,4,6,2,2,6,4,6,2,6,8,6,4,6,6,4,6,6,4,8,4,6,6,8,6,6,6,4,2,6,6,4,4,2,6,6,8,4,4,8,4,6,6,2,6,6,6,8,2,0,4,4,8
"108",4,6,4,4,6,4,4,6,6,6,2,6,8,4,2,4,6,4,6,6,4,8,2,4,6,8,6,6,8,6,6,8,8,8,4,8,10,6,4,2,8,6,8,8,6,10,4,2,2,6,6,4,6,4,4,4,4,6,4,8,4,4,4,6,4,4,6,4,8,2,6,4,6,4,4,4,2,4,4,6,4,8,6,6,6,6,4,2,6,2,8,4,8,4,6,2,6,4,6,6,4,4,6,6,6,6,4,0,6,10
"109",6,2,6,2,8,6,6,4,4,6,6,6,4,2,6,6,6,6,6,6,4,6,2,4,4,6,6,6,6,2,6,4,6,6,8,4,4,6,4,6,6,2,4,6,6,8,4,4,4,6,4,6,8,6,6,6,6,6,4,6,2,8,6,6,6,2,4,4,4,8,6,4,8,6,2,4,6,6,8,2,8,6,6,6,6,8,4,4,6,4,6,4,4,2,8,6,8,2,6,4,8,6,6,8,6,4,4,6,0,6
"110",6,8,4,8,6,4,8,6,6,8,6,4,4,4,6,6,4,8,6,6,6,4,6,6,2,6,4,4,6,4,6,6,4,6,8,2,4,2,6,6,8,4,6,8,8,10,6,6,6,6,8,2,8,10,2,6,2,6,6,4,6,8,4,4,6,4,4,6,4,6,8,2,6,8,8,8,8,4,10,6,2,6,4,4,6,8,6,6,4,4,6,6,2,8,6,4,8,4,8,6,4,6,8,8,6,6,8,10,6,0
